smiles1,pKa,pKa_type,smiles
CC(=O)/C=C(O)/C=C/c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1,9.24,acidic,CC(=O)/C=C(O)/C=C/c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1
CC(=O)/C=C(O)/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,9.24,acidic,CC(=O)/C=C(O)/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,7.3,acidic,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,7.3,acidic,CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C
CC(=O)C(=C(C)O)c1ccccc1,9.32,acidic,CC(=O)C(=C(C)O)c1ccccc1
CC(=O)C(=CO)C(C)=O,4.6,acidic,CC(=O)C(=CO)C(C)=O
CC(=O)C(=O)O,2.45,acidic,CC(=O)C(=O)O
CC(=O)C(=O)[O-],2.39,acidic,CC(=O)C(=O)[O-]
CC(=O)C(C)=C(C)O,10.79,acidic,CC(=O)C(C)=C(C)O
CC(=O)C(C)=C(O)C(C)C,11.8,acidic,CC(=O)C(C)=C(O)C(C)C
CC(=O)C(C)C(C)(C)C(=O)O,5.79,acidic,CC(=O)C(C)C(C)(C)C(=O)O
CC(=O)C(C)C(C)(C)C(=O)[O-],5.79,acidic,CC(=O)C(C)C(C)(C)C(=O)[O-]
CC(=O)C(Cc1ccc(C#N)cc1)=C(C)O,9.69,acidic,CC(=O)C(Cc1ccc(C#N)cc1)=C(C)O
CC(=O)C(Cc1ccc(Cl)cc1)=C(C)O,10.25,acidic,CC(=O)C(Cc1ccc(Cl)cc1)=C(C)O
CC(=O)C(Cc1ccccc1)=C(C)O,10.49,acidic,CC(=O)C(Cc1ccccc1)=C(C)O
CC(=O)C(N=O)=C(C)O,7.44,acidic,CC(=O)C(N=O)=C(C)O
CC(=O)C1=C(O)CCC1,7.82,acidic,CC(=O)C1=C(O)CCC1
CC(=O)C1=C(O)CCCC1,10.21,acidic,CC(=O)C1=C(O)CCCC1
CC(=O)C1=C([O-])c2ccccc2C1=O,2.88,acidic,CC(=O)C1=C([O-])c2ccccc2C1=O
CC(=O)C1CC1C(=O)O,4.19,acidic,CC(=O)C1CC1C(=O)O
